"Average",,,,,,,,,,,,,,,,"E0",,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","Sigma_X [mm]","Sigma_Y [mm]","Sigma_Z [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
43,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0708039,0.116582,-0.0156724,-3.03475e-05,0.000135171,-3.92822e-06,0.000190617,-8.57931e-05,-0.067431,7.93351e-05,8.14234e-05,0.000363558,0.000133449,0.00400347,30.004,30
44,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.072584,0.11919,-0.0157379,-3.00128e-05,0.00013689,-4.29796e-06,0.000192451,-8.55734e-05,-0.0986325,7.92911e-05,8.13834e-05,0.000363361,0.000133068,0.00399204,30.004,30
45,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0742405,0.122071,-0.0162753,-3.2214e-05,0.000142427,-2.66539e-06,0.000199237,-8.90246e-05,-0.0801996,7.94415e-05,8.15394e-05,0.000364054,0.000138187,0.00414561,30.0041,30
46,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0758568,0.12527,-0.0165989,-3.44603e-05,0.000149436,-6.2485e-07,0.000205822,-9.08461e-05,-0.0258955,7.96359e-05,8.17245e-05,0.000364933,0.000150583,0.00451749,30.0045,30
47,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0774792,0.127705,-0.0166004,-3.25902e-05,0.000150778,-3.2453e-06,0.000209007,-9.08194e-05,-0.0493244,7.97234e-05,8.18086e-05,0.000365333,0.000152114,0.0045634,30.0045,30
48,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0791112,0.129963,-0.0173184,-3.11913e-05,0.000164192,2.67027e-08,0.000221651,-8.86505e-05,-0.0260006,7.97323e-05,8.18114e-05,0.000365369,0.000163464,0.00490392,30.0049,30
49,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.080591,0.133209,-0.0167687,-3.88845e-05,0.0001601,-3.52039e-06,0.000218232,-9.70157e-05,-0.0821126,7.95976e-05,8.16805e-05,0.000364754,0.000158407,0.0047522,30.0047,30
50,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0822081,0.136068,-0.0173081,-3.98871e-05,0.000168353,-2.41816e-06,0.00022766,-9.91948e-05,-0.0896722,7.95173e-05,8.1598e-05,0.000364375,0.000165336,0.00496007,30.0049,30
51,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0838236,0.138709,-0.0165693,-4.23726e-05,0.000170031,-3.2823e-06,0.000230162,-0.000102504,-0.087,7.94949e-05,8.15891e-05,0.000364308,0.000168957,0.0050687,30.005,30
52,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0854388,0.141539,-0.0182994,-3.63583e-05,0.000179621,-5.17516e-06,0.000240417,-9.71542e-05,-0.0933337,7.95604e-05,8.16547e-05,0.00036461,0.000181436,0.00544306,30.0054,30
53,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0868448,0.14423,-0.0175956,-3.89345e-05,0.000182587,-2.16794e-06,0.00024304,-9.93876e-05,-0.083618,7.96687e-05,8.17587e-05,0.00036511,0.000183635,0.00550904,30.0055,30
54,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0884289,0.147112,-0.0173201,-4.5545e-05,0.00018592,-1.90042e-06,0.000247072,-0.000106696,-0.0618888,7.97575e-05,8.18416e-05,0.000365515,0.000185973,0.00557919,30.0056,30
55,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0893812,0.15014,-0.0189482,-3.92803e-05,0.000197266,7.81323e-07,0.000257947,-9.9962e-05,-0.0136492,7.97477e-05,8.18199e-05,0.000365447,0.000194768,0.00584302,30.0058,30
56,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0916219,0.152427,-0.0178082,-4.74984e-05,0.000193955,-3.50888e-06,0.000256236,-0.00010978,-0.0744625,7.96669e-05,8.17347e-05,0.000365062,0.000196891,0.00590672,30.0059,30
57,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0931505,0.1554,-0.0185325,-3.95992e-05,0.000205751,-3.03686e-06,0.000267637,-0.000101486,-0.0554023,7.95743e-05,8.16437e-05,0.000364625,0.000203443,0.00610329,30.0061,30
58,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.094824,0.157935,-0.0170022,-3.24802e-05,0.000204173,-6.77626e-06,0.000271862,-0.000100169,-0.0916482,7.96008e-05,8.16736e-05,0.000364754,0.000206848,0.00620542,30.0062,30
59,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0956447,0.1607,-0.0164501,-5.25072e-05,0.000208783,8.76284e-06,0.000271475,-0.000115199,0.0586749,7.96731e-05,8.17474e-05,0.000365088,0.000207356,0.00622066,30.0062,30
60,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0982322,0.164366,-0.0209577,-6.71394e-05,0.000206087,-2.15498e-06,0.000270409,-0.000131461,-0.029193,7.99004e-05,8.19763e-05,0.000366148,0.000208465,0.00625395,30.0062,30
61,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.0986243,0.165928,-0.0202011,-3.90675e-05,0.000228686,-7.51027e-06,0.000294128,-0.00010451,-0.101961,7.99329e-05,8.20105e-05,0.000366317,0.000228939,0.00686817,30.0068,30
62,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.100735,0.169294,-0.018507,-5.0932e-05,0.00023339,-5.56222e-06,0.000294871,-0.000112413,-0.113025,7.99806e-05,8.20615e-05,0.000366545,0.000229264,0.00687792,30.0068,30
63,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.101776,0.172015,-0.0154223,-0.000110437,0.000203453,-3.83397e-06,0.000262338,-0.000169322,-0.0621859,7.996e-05,8.20413e-05,0.000366444,0.000202702,0.00608104,30.0061,30
64,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.103072,0.174598,-0.0159495,-5.82282e-05,0.000226729,-2.82179e-06,0.000293625,-0.000125124,-0.0690406,7.98226e-05,8.19116e-05,0.000365838,0.000228687,0.00686059,30.0068,30
65,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.10452,0.177256,-0.01531,-8.55559e-05,0.00023039,1.87487e-06,0.000291877,-0.000147043,-0.0110133,7.96424e-05,8.17392e-05,0.000365028,0.000230221,0.00690662,30.0069,30
66,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.106022,0.180265,-0.0141637,-0.000146124,0.000239115,-8.60498e-06,0.000286379,-0.000193388,-0.132208,7.96543e-05,8.17544e-05,0.000365105,0.000239328,0.00717982,30.0072,30
67,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.107496,0.182857,-0.0162168,-7.28585e-05,0.000251599,-5.38411e-06,0.000314849,-0.000136108,-0.0558552,7.96722e-05,8.17747e-05,0.000365197,0.000250733,0.00752198,30.0075,30
68,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.109695,0.18594,-0.0206795,-3.83868e-05,0.000252098,3.2509e-06,0.000327721,-0.00011401,-0.00372104,7.98429e-05,8.19285e-05,0.000365951,0.000251144,0.00753431,30.0075,30
69,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.110795,0.188117,-0.0182259,-8.30166e-05,0.000261923,-8.39809e-06,0.000325964,-0.000147057,-0.105784,7.98224e-05,8.19054e-05,0.000365856,0.000262095,0.00786285,30.0078,30
70,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.112607,0.191268,-0.0184488,-4.30907e-05,0.000275699,-1.41976e-05,0.000344284,-0.000111676,-0.164003,7.97746e-05,8.18541e-05,0.00036562,0.000281628,0.00844883,30.0084,30
71,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.11382,0.194437,-0.0178843,-4.99189e-05,0.000290311,-7.66316e-06,0.000358588,-0.000118196,-0.125386,7.96346e-05,8.17195e-05,0.000364989,0.000298756,0.00896267,30.0089,30
72,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.114919,0.196361,-0.0176175,-7.36743e-05,0.000282121,5.96313e-07,0.000345454,-0.000137008,-0.0462574,7.96284e-05,8.17119e-05,0.000364954,0.000285289,0.00855866,30.0085,30
73,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.116192,0.19917,-0.0181056,-7.22268e-05,0.000288123,-3.46832e-06,0.000352354,-0.000136457,-0.068319,7.96581e-05,8.17491e-05,0.000365115,0.000297018,0.00891054,30.0089,30
74,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.118224,0.202104,-0.0209064,-5.38467e-05,0.000297101,-8.63411e-06,0.00036772,-0.000124465,-0.121892,7.97242e-05,8.18172e-05,0.000365425,0.0003083,0.009249,30.0092,30
75,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.118563,0.204669,-0.0169738,-7.96292e-05,0.000295421,5.75628e-06,0.000358855,-0.000143063,-0.00507942,7.98777e-05,8.1964e-05,0.000366109,0.000300804,0.0090241,30.009,30
76,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.120078,0.207097,-0.0171139,-8.0785e-05,0.000281854,3.59568e-06,0.000350007,-0.000148938,-0.00468063,7.99122e-05,8.19983e-05,0.000366268,0.000284709,0.00854125,30.0085,30
77,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.12193,0.210288,-0.0154682,-6.5106e-05,0.000315462,-1.82929e-05,0.000381666,-0.00013131,-0.140153,7.9793e-05,8.18764e-05,0.000365721,0.000321502,0.00964505,30.0096,30
78,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.122533,0.212782,-0.0168107,-6.38164e-05,0.000306818,2.55703e-06,0.000378931,-0.00013593,-0.00401613,7.96928e-05,8.17812e-05,0.000365275,0.000309583,0.00928747,30.0093,30
79,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.123868,0.215261,-0.017243,-8.14328e-05,0.00032291,-4.20308e-06,0.000389389,-0.000147911,-0.0487975,7.96233e-05,8.17159e-05,0.00036497,0.000334198,0.0100259,30.01,30
80,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.125689,0.218561,-0.0189541,-8.02541e-05,0.000329936,-2.79875e-06,0.000395967,-0.000146285,-0.0537667,7.96276e-05,8.17181e-05,0.000364991,0.000330345,0.00991035,30.0099,30
81,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.127604,0.221959,-0.0163417,-6.36359e-05,0.000333224,-9.17305e-06,0.000410636,-0.000141048,-0.069764,7.96546e-05,8.17536e-05,0.000365142,0.000339737,0.0101921,30.0102,30
82,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.127533,0.22374,-0.0169387,-9.92666e-05,0.000357882,-2.99137e-06,0.000412145,-0.00015353,-0.0525621,7.97347e-05,8.18197e-05,0.000365463,0.000376738,0.0113021,30.0113,30
83,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.129024,0.226376,-0.0162659,-9.41241e-05,0.000319056,-1.90285e-05,0.00038881,-0.000163878,-0.149981,7.97943e-05,8.18772e-05,0.000365738,0.000319815,0.00959444,30.0096,30
84,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.130164,0.228668,-0.0172126,-7.45015e-05,0.000368364,-5.16768e-06,0.000428879,-0.000135017,-0.0298676,7.97438e-05,8.18273e-05,0.000365521,0.000373774,0.0112132,30.0112,30
85,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.13148,0.231623,-0.0167737,-8.88787e-05,0.000375035,-5.95088e-06,0.000435825,-0.000149668,-0.0582626,7.9725e-05,8.18079e-05,0.000365427,0.000381714,0.0114514,30.0114,30
86,-5.20907e-10,2.17273e-10,-1.9411e-14,-0.132865,0.234396,-0.0175097,-8.5825e-05,0.000373475,-3.29459e-06,0.000435279,-0.000147629,-0.0649781,7.9655e-05,8.1744e-05,0.000365122,0.000385043,0.0115513,30.0115,30
